listened_to_datetime,s_id,g_id,genrename
2020-09-20 16:44:44.000000,451,259,metalcore
2021-03-18 04:42:12.000000,272,171,garage house
2022-05-23 05:44:27.000000,135,359,ska
2022-10-09 13:10:28.000000,486,367,soft rock
2019-06-21 20:41:26.000000,196,257,merengue
2020-11-17 15:46:29.000000,500,414,vocal trance
2021-10-13 14:21:27.000000,192,56,calypso
2020-08-07 06:19:04.000000,465,471,group sounds
2022-10-23 17:05:51.000000,357,300,pop punk
2023-02-27 23:22:49.000000,271,498,luk thung
2022-05-14 01:45:53.000000,336,142,euro house
2021-06-26 11:36:23.000000,209,45,bolero son
2022-02-24 10:40:58.000000,304,68,christmas music
2022-03-07 12:31:55.000000,140,232,klezmer
2021-11-01 01:58:53.000000,453,46,boom bap
2023-02-05 22:30:31.000000,249,424,joik
2022-12-14 01:26:04.000000,318,338,ragtime
2020-08-06 12:17:54.000000,55,309,post-metal
2021-01-17 13:01:56.000000,31,16,ambient house
2021-05-17 07:45:08.000000,122,462,nueva canción
2022-06-09 15:14:53.000000,446,215,guaracha
2021-08-05 20:36:03.000000,238,328,psychobilly
2022-05-19 03:17:08.000000,187,497,hopepunk
2022-05-06 04:22:24.000000,447,389,synth-pop
2022-07-16 19:45:05.000000,49,265,modern blues
2023-01-12 20:39:07.000000,384,246,mandopop
2022-12-06 22:50:27.000000,270,276,new age
2023-01-31 03:26:17.000000,102,411,visual kei
2021-05-17 04:50:36.000000,104,290,oi
2021-04-04 17:29:30.000000,378,65,chillout
2022-02-19 16:53:07.000000,202,318,progressive folk
2022-03-27 23:11:11.000000,211,210,industrial
2022-01-12 23:25:01.000000,263,17,ambient techno
2020-06-17 11:35:05.000000,394,149,flamenco
2021-07-26 00:41:54.000000,173,117,drone
2020-10-14 22:40:29.000000,111,303,pop soul
2021-01-09 05:38:36.000000,389,323,hexd
2021-07-10 14:16:09.000000,143,152,folk punk
2022-01-25 14:23:53.000000,59,249,mathcore
2021-06-13 16:39:54.000000,7,464,yacht rock
2021-12-13 06:50:33.000000,240,305,post-bop
2020-09-12 11:54:15.000000,470,433,bounce
2022-04-04 16:48:56.000000,37,292,old school death metal
2021-12-05 22:33:01.000000,186,226,jazz rock
2022-06-01 22:19:40.000000,371,249,mathcore
2021-02-16 01:30:06.000000,333,450,harsh noise
2020-11-15 00:42:03.000000,364,286,northern soul
2020-12-31 13:09:21.000000,309,48,breakbeat
2021-05-29 01:10:13.000000,64,88,country pop
2022-04-06 18:50:41.000000,100,344,reggaeton
2020-06-16 15:00:18.000000,181,343,reggae
2021-07-08 08:09:13.000000,294,75,comedy
2021-06-06 21:44:54.000000,123,358,singer-songwriter
2022-10-30 10:29:42.000000,358,385,symphonic prog
2021-04-24 13:30:13.000000,377,231,beat music
2020-10-12 08:41:43.000000,454,44,changa tuki
2021-08-23 00:48:12.000000,332,141,funkot
2021-04-30 00:02:32.000000,157,373,southern soul
2022-06-21 17:51:29.000000,126,264,toccata
2020-11-27 04:26:40.000000,456,386,symphonic rock
2020-11-08 06:58:31.000000,8,143,eurodance
2022-09-24 11:40:40.000000,16,231,beat music
2022-06-07 23:43:34.000000,258,146,experimental rock
2022-01-15 02:03:02.000000,151,7,alternative country
2021-10-09 15:57:25.000000,71,96,dance-punk
2021-02-11 04:58:00.000000,258,146,experimental rock
2020-06-29 17:36:58.000000,184,363,sludge metal
2022-09-16 20:32:07.000000,410,310,post-punk
2020-09-01 20:31:12.000000,25,366,soca
2020-12-20 05:21:53.000000,492,38,black metal
2022-11-25 00:21:05.000000,465,471,group sounds
2022-06-09 14:32:32.000000,249,424,joik
2021-05-04 07:01:38.000000,392,393,techno
2020-06-29 21:39:42.000000,370,487,candombe
2022-09-05 12:02:53.000000,435,395,thrashcore
2021-09-15 04:51:43.000000,224,17,ambient techno
2022-03-04 10:34:31.000000,286,183,gothic rock
2022-05-23 00:03:29.000000,129,227,jazz-funk
2021-11-16 00:03:55.000000,294,75,comedy
2023-01-17 00:08:05.000000,203,112,disco
2020-10-06 00:03:23.000000,102,411,visual kei
2022-04-30 00:05:59.000000,192,56,calypso
2021-06-11 00:01:10.000000,139,149,flamenco
2020-09-11 00:03:58.000000,102,411,visual kei
2021-09-10 00:02:01.000000,224,17,ambient techno
2021-08-15 00:04:49.000000,461,29,bachata
2022-12-10 00:03:37.000000,30,423,dream pop
2022-04-27 00:04:59.000000,355,281,noise
2022-05-04 00:03:03.000000,162,424,joik
2022-03-10 00:02:44.000000,378,65,chillout
2022-09-02 00:02:25.000000,285,19,anarcho-punk
2022-10-08 00:04:44.000000,61,495,carnatic classical
2020-07-21 00:04:58.000000,145,11,alternative metal
2021-12-16 10:40:37.000000,148,484,edm
2021-05-07 00:02:42.000000,332,141,funkot
2023-01-15 08:36:44.000000,401,167,g-funk
2020-05-31 14:34:25.000000,491,117,drone
2021-04-30 07:18:56.000000,90,363,sludge metal
2022-08-08 13:44:16.000000,189,78,contemporary classical
2021-05-17 00:50:53.000000,238,328,psychobilly
2021-12-03 01:16:24.000000,338,465,comedy rock
2020-05-05 07:51:46.000000,84,57,cantopop
2023-01-28 00:03:47.000000,5,128,electro swing
2023-02-17 23:24:07.000000,393,17,ambient techno
2020-11-18 09:01:31.000000,329,206,indie pop
2020-12-14 20:34:16.000000,458,183,gothic rock
2022-12-11 08:06:47.000000,329,206,indie pop
2022-09-24 00:37:56.000000,138,75,comedy
2021-09-25 04:23:27.000000,51,386,symphonic rock
2021-05-05 06:03:20.000000,65,432,future garage
2020-09-20 06:10:02.000000,124,151,folk metal
2021-02-11 11:06:55.000000,234,129,electro-funk
2021-07-06 00:02:12.000000,305,46,boom bap
2021-07-03 00:03:23.000000,445,299,pop metal
2022-10-13 01:55:09.000000,39,55,cajun
2021-02-14 06:49:52.000000,406,340,rap rock
2023-01-14 23:50:41.000000,319,7,alternative country
2022-05-30 01:53:05.000000,458,183,gothic rock
2023-02-20 22:00:23.000000,500,414,vocal trance
2020-10-08 12:02:14.000000,146,429,phonk
2022-11-16 00:01:04.000000,68,161,funk rock
2020-05-04 10:42:14.000000,345,117,drone
2020-06-06 07:00:55.000000,48,147,fado
2021-06-29 00:01:38.000000,268,3,acid techno
2021-01-07 12:16:02.000000,155,446,red song
2022-03-21 00:02:19.000000,204,408,vallenato
2020-11-01 14:40:02.000000,222,396,thrash metal
2022-10-10 08:09:36.000000,19,84,cool jazz
2022-07-07 23:43:13.000000,56,74,club
2021-09-13 13:43:17.000000,60,17,ambient techno
2021-12-14 00:04:14.000000,319,7,alternative country
2022-04-06 00:03:42.000000,449,68,christmas music
2020-05-24 10:19:18.000000,483,147,fado
2021-11-18 11:02:44.000000,291,201,horror punk
2022-10-07 00:59:04.000000,378,65,chillout
2022-07-09 06:15:49.000000,309,48,breakbeat
2020-12-25 00:04:39.000000,428,148,filk
2020-04-13 00:03:39.000000,217,354,schlager
2023-03-07 22:15:04.000000,293,187,groove metal
2020-07-29 16:30:11.000000,260,199,honky tonk
2020-02-06 04:10:03.000000,116,38,black metal
2021-09-13 15:47:05.000000,77,400,trap
2021-01-22 06:11:22.000000,322,111,digital hardcore
2022-12-03 15:01:52.000000,88,281,noise
2020-05-07 09:38:59.000000,254,403,trip hop
2021-09-21 21:35:32.000000,199,483,industrial musical
2020-06-11 19:56:57.000000,208,271,neo soul
2020-08-15 13:21:00.000000,346,274,neofolk
2020-07-28 00:57:57.000000,62,404,turntablism
2022-02-01 09:54:27.000000,171,147,fado
2021-06-28 19:31:53.000000,417,281,noise
2020-08-04 19:13:33.000000,173,117,drone
2021-03-20 10:59:43.000000,36,292,old school death metal
2020-05-26 04:37:08.000000,276,481,cyberpunk
2022-10-20 21:21:02.000000,245,304,pornogrind
2023-01-16 14:07:38.000000,375,248,math rock
2022-01-06 16:37:14.000000,219,351,crack rock steady
2022-09-26 07:15:10.000000,43,470,ryūkōka
2023-03-13 20:33:02.000000,142,473,neo-traditional country
2021-11-01 22:08:07.000000,435,395,thrashcore
2020-10-07 13:37:41.000000,230,89,country rock
2020-07-21 02:12:42.000000,462,176,glam rock
2020-06-11 20:46:10.000000,364,286,northern soul
2022-04-19 23:32:43.000000,175,242,lounge
2022-11-18 14:59:01.000000,178,495,carnatic classical
2021-02-24 05:45:12.000000,191,209,indorock
2022-07-11 05:27:21.000000,185,160,funk metal
2022-10-21 08:47:33.000000,466,488,brostep
2020-10-26 05:59:29.000000,356,470,ryūkōka
2020-11-03 21:23:07.000000,405,367,soft rock
2022-05-19 00:26:36.000000,413,457,ritual ambient
2021-07-20 15:23:03.000000,9,32,baroque
2021-09-14 06:14:24.000000,312,192,hard rock
2022-06-08 10:40:31.000000,209,45,bolero son
2021-10-29 00:17:32.000000,106,275,nerdcore
2021-07-19 19:58:36.000000,471,495,carnatic classical
2020-08-05 16:30:25.000000,494,301,pop rap
2020-06-06 22:26:54.000000,179,240,lo-fi
2021-07-19 03:50:47.000000,201,219,italo-disco
2021-02-13 05:58:59.000000,412,305,post-bop
2023-02-02 23:07:51.000000,50,158,funk
2022-08-13 10:05:33.000000,104,290,oi
2022-07-12 06:33:20.000000,28,251,melodic black metal
2021-11-13 08:37:15.000000,204,408,vallenato
2022-03-25 18:29:29.000000,117,363,sludge metal
2022-12-27 19:57:46.000000,264,488,brostep
2020-08-12 17:41:52.000000,288,12,alternative pop
2021-09-27 04:20:17.000000,73,494,qawwali
2020-09-07 15:46:54.000000,446,215,guaracha
2021-11-20 02:44:17.000000,476,349,rocksteady
2021-11-17 03:18:05.000000,143,152,folk punk
2021-06-24 16:08:37.000000,308,431,swamp rock
2020-05-27 05:48:11.000000,471,495,carnatic classical
2022-10-09 12:53:43.000000,399,284,non-music
2021-08-14 05:21:22.000000,261,202,house
2022-01-12 12:46:54.000000,203,112,disco
2021-05-11 14:48:54.000000,363,109,delta blues
2022-08-27 09:38:56.000000,175,242,lounge
2022-11-10 15:28:52.000000,20,28,avant-garde pop
2021-05-03 07:14:38.000000,215,185,grime
2021-06-02 12:12:04.000000,499,56,calypso
2022-11-09 15:28:05.000000,66,15,ambient
2021-05-12 23:14:25.000000,58,415,west coast hip hop
2022-05-16 05:35:27.000000,154,484,edm
2020-12-20 08:14:32.000000,481,283,noise pop
2022-06-26 12:44:50.000000,115,288,nu metal
2022-02-07 04:35:59.000000,30,423,dream pop
2020-08-26 01:28:39.000000,263,17,ambient techno
2022-01-16 10:28:40.000000,238,328,psychobilly
2022-06-24 10:49:35.000000,324,386,symphonic rock
2022-01-01 20:22:03.000000,367,491,neurofunk
2021-02-20 19:13:40.000000,117,363,sludge metal
2021-11-19 12:46:01.000000,143,152,folk punk
2022-11-04 23:08:20.000000,131,386,symphonic rock
2020-09-06 16:51:36.000000,140,232,klezmer
2023-02-13 22:11:09.000000,405,367,soft rock
2022-02-03 20:28:21.000000,482,201,horror punk
2023-01-08 03:03:34.000000,357,300,pop punk
2021-06-23 15:08:33.000000,233,367,soft rock
2023-01-10 15:23:59.000000,373,382,swing
2023-02-23 12:33:48.000000,305,46,boom bap
2022-12-21 15:01:04.000000,338,465,comedy rock
2021-04-14 00:24:22.000000,237,300,pop punk
2020-09-20 01:10:56.000000,171,147,fado
2020-12-23 07:01:50.000000,24,114,doom metal
2021-03-22 16:08:55.000000,207,254,romantische oper
2022-01-28 10:02:53.000000,430,450,harsh noise
2022-06-10 08:46:15.000000,466,488,brostep
2020-05-31 04:55:00.000000,324,386,symphonic rock
2022-06-27 07:02:58.000000,456,386,symphonic rock
2022-06-03 22:10:32.000000,432,18,americana
2021-09-16 08:17:16.000000,345,117,drone
2021-07-05 20:39:16.000000,38,475,guaguancó
2021-03-30 06:33:11.000000,322,111,digital hardcore
2020-08-01 09:55:08.000000,64,88,country pop
2021-09-18 16:27:02.000000,334,282,noisecore
2021-01-20 08:37:43.000000,225,239,vude
2021-04-25 23:49:26.000000,475,207,indie rock
2021-12-17 01:39:09.000000,171,147,fado
2021-09-12 16:42:20.000000,303,346,rock
2022-11-13 19:27:42.000000,8,143,eurodance
2023-01-09 20:22:07.000000,229,384,symphonic metal
2020-11-22 19:45:31.000000,224,17,ambient techno
2022-06-11 06:12:22.000000,252,376,speed metal
2020-08-02 17:15:19.000000,66,15,ambient
2022-03-02 14:31:03.000000,368,96,dance-punk
2020-08-27 17:48:20.000000,59,249,mathcore
2021-02-14 00:28:52.000000,229,384,symphonic metal
2021-12-21 00:00:16.000000,245,304,pornogrind
2021-06-19 00:03:08.000000,264,488,brostep
2022-07-20 00:03:09.000000,251,230,kayōkyoku
2021-02-11 00:03:36.000000,114,66,chiptune
2021-02-05 00:02:20.000000,28,251,melodic black metal
2021-09-22 00:02:18.000000,143,152,folk punk
2021-05-26 00:03:06.000000,48,147,fado
2022-07-11 00:02:15.000000,307,377,spoken word
2021-05-03 00:03:36.000000,456,386,symphonic rock
2020-07-24 00:01:08.000000,66,15,ambient
2022-01-24 00:04:34.000000,75,258,metal
2021-09-24 00:01:01.000000,175,242,lounge
2021-04-08 00:06:23.000000,454,44,changa tuki
2022-09-24 00:00:07.000000,432,18,americana
2022-03-27 00:00:44.000000,143,152,folk punk
2022-06-04 00:01:38.000000,176,456,zeuhl
2020-07-05 00:03:13.000000,97,451,harsh noise wall
2021-01-18 00:02:06.000000,434,263,mincecore
2022-02-19 00:03:18.000000,19,84,cool jazz
2022-06-10 00:01:38.000000,306,489,kizomba
2023-02-05 00:01:22.000000,444,210,industrial
2022-08-08 00:03:30.000000,302,320,progressive metal
2022-06-11 00:03:54.000000,308,431,swamp rock
2022-02-28 00:04:29.000000,224,17,ambient techno
2022-12-08 09:05:34.000000,111,303,pop soul
2022-10-30 00:00:03.000000,178,495,carnatic classical
2020-08-09 14:57:41.000000,254,403,trip hop
2021-09-06 02:27:08.000000,474,299,pop metal
2020-09-24 16:59:46.000000,434,263,mincecore
2022-12-15 04:51:06.000000,418,137,electropunk
2021-05-27 19:34:51.000000,135,359,ska
2022-08-03 17:16:31.000000,123,358,singer-songwriter
2021-10-04 04:41:43.000000,303,346,rock
2020-12-16 00:00:30.000000,158,78,contemporary classical
2021-01-13 00:06:28.000000,310,51,britpop
2021-12-17 15:09:21.000000,285,19,anarcho-punk
2021-08-21 10:45:11.000000,260,199,honky tonk
2021-02-02 22:17:39.000000,316,158,funk
2022-03-27 05:09:49.000000,419,203,idm
2020-06-23 15:58:25.000000,112,239,vude
2023-02-24 00:03:20.000000,91,50,breaks
2023-02-26 15:55:47.000000,217,354,schlager
2020-10-31 06:58:45.000000,134,10,alternative hip hop
2020-11-13 19:30:49.000000,257,134,electronica
2021-10-06 21:15:05.000000,291,201,horror punk
2020-07-19 00:02:10.000000,261,202,house
2021-06-19 00:04:39.000000,92,254,romantische oper
2022-03-05 07:12:49.000000,404,439,detroit techno
2022-05-21 00:03:26.000000,47,376,speed metal
2020-04-11 00:01:54.000000,397,92,cumbia
2020-08-22 01:51:02.000000,456,386,symphonic rock
2019-08-06 22:45:41.000000,297,359,ska
2022-04-21 19:03:45.000000,466,488,brostep
2022-11-01 22:25:45.000000,373,382,swing
2023-02-20 20:30:12.000000,22,417,yé-yé
2022-02-17 20:54:16.000000,277,302,pop rock
2022-11-22 16:58:05.000000,302,320,progressive metal
2021-04-17 15:44:36.000000,28,251,melodic black metal
2021-10-24 04:32:38.000000,10,495,carnatic classical
2021-05-16 22:14:33.000000,291,201,horror punk
2022-12-02 12:06:33.000000,79,100,dark folk
2020-08-17 10:16:34.000000,130,48,breakbeat
2020-05-05 00:52:01.000000,497,449,noise rock
2021-02-25 00:37:13.000000,452,493,chachachá
2022-07-29 00:00:20.000000,168,188,grunge
2022-10-01 17:14:34.000000,409,81,contemporary jazz
2021-01-04 11:04:29.000000,324,386,symphonic rock
2020-10-06 06:56:13.000000,424,120,dub techno
2021-07-27 23:36:24.000000,400,201,horror punk
2023-01-25 21:08:56.000000,249,424,joik
2020-12-28 16:08:26.000000,170,361,skacore
2023-01-07 07:31:04.000000,422,114,doom metal
2022-10-08 04:12:28.000000,25,366,soca
2021-08-31 19:46:33.000000,190,98,dark ambient
2020-10-26 14:28:04.000000,319,7,alternative country
2022-08-03 01:43:37.000000,118,164,sigidrigi
2020-07-07 20:09:22.000000,459,326,psychedelic pop
2022-04-15 11:19:59.000000,349,278,new romantic
2021-09-02 08:32:24.000000,101,317,progressive
2020-06-02 18:26:34.000000,321,140,enka
2023-02-08 07:26:35.000000,270,276,new age
2021-04-30 21:33:53.000000,367,491,neurofunk
2021-04-29 14:35:10.000000,426,484,edm
2021-04-29 23:48:49.000000,378,65,chillout
2023-01-11 13:39:55.000000,260,199,honky tonk
2021-04-16 14:23:09.000000,196,257,merengue
2022-04-21 20:29:09.000000,389,323,hexd
2021-08-13 17:15:56.000000,116,38,black metal
2022-10-25 22:44:50.000000,327,26,avant-garde jazz
2020-09-26 16:57:02.000000,76,16,ambient house
2023-02-16 22:02:39.000000,69,270,musical
2022-07-29 04:18:54.000000,80,331,punk rock
2021-04-20 13:53:50.000000,315,97,dancehall
2022-11-15 00:02:43.000000,343,104,deathcore
2020-09-24 07:10:23.000000,134,10,alternative hip hop
2021-05-10 02:29:21.000000,62,404,turntablism
2022-11-18 03:59:33.000000,139,149,flamenco
2022-09-16 18:19:58.000000,62,404,turntablism
2021-02-04 20:12:24.000000,350,391,tech house
2023-02-28 19:49:43.000000,146,429,phonk
2022-01-17 22:39:44.000000,300,486,afoxê
2020-07-31 04:48:56.000000,219,351,crack rock steady
2020-07-10 03:04:45.000000,43,470,ryūkōka
2021-11-24 03:43:57.000000,47,376,speed metal
2021-03-12 00:41:31.000000,459,326,psychedelic pop
2022-02-27 17:26:31.000000,80,331,punk rock
2020-07-03 03:58:12.000000,188,53,brutal death metal
2022-10-12 16:25:14.000000,44,320,progressive metal
2021-03-13 09:00:59.000000,489,116,drill
2021-08-05 14:52:14.000000,210,232,klezmer
2021-12-13 22:13:51.000000,268,3,acid techno
2021-11-06 11:23:24.000000,288,12,alternative pop
2022-02-08 01:25:18.000000,189,78,contemporary classical
2022-07-21 21:07:22.000000,286,183,gothic rock
2021-02-10 20:41:53.000000,257,134,electronica
2021-11-03 11:27:37.000000,15,59,celtic
2020-09-17 12:19:39.000000,375,248,math rock
2022-09-02 14:13:05.000000,471,495,carnatic classical
2020-09-16 06:11:29.000000,156,268,motown
2022-10-09 19:03:54.000000,136,460,art pop
2023-02-06 15:15:49.000000,486,367,soft rock
2022-11-09 06:04:40.000000,131,386,symphonic rock
2022-04-16 01:27:55.000000,23,71,classic country
2022-04-07 03:19:45.000000,313,377,spoken word
2020-08-21 19:50:03.000000,236,308,post-hardcore
2020-12-27 10:12:47.000000,306,489,kizomba
2022-05-19 11:19:34.000000,286,183,gothic rock
2020-06-02 16:09:33.000000,332,141,funkot
2021-03-25 09:12:13.000000,343,104,deathcore
2022-12-24 14:16:58.000000,229,384,symphonic metal
2022-10-12 06:04:16.000000,288,12,alternative pop
2023-03-24 17:10:33.034451,279,329,psytrance
2023-03-24 17:10:33.034451,408,143,eurodance
2023-03-24 13:11:18.013970,279,329,psytrance
2023-03-24 13:11:18.013970,408,143,eurodance
2023-03-24 16:52:51.378144,274,152,folk punk
2023-03-24 19:47:43.924056,279,329,psytrance
2023-03-24 19:47:43.924056,408,143,eurodance
2023-03-24 19:49:00.953301,16,231,beat music
2023-03-24 20:48:18.290070,16,231,beat music
2023-03-24 20:49:05.008073,279,329,psytrance
2023-03-24 20:49:05.008073,408,143,eurodance
2023-04-04 11:51:13.596232,75,258,metal
2023-04-04 11:51:13.596232,85,23,atmospheric black metal
2023-04-04 11:51:13.596232,90,363,sludge metal
2023-04-04 11:51:13.596232,129,227,jazz-funk
2023-04-04 11:51:13.596232,150,490,complextro
2023-04-04 11:51:13.596232,203,112,disco
2023-04-04 11:51:13.596232,287,39,blackened death metal
2023-04-04 11:51:13.596232,354,9,alternative folk
2023-04-04 11:51:13.596232,375,248,math rock
2023-04-04 11:51:13.596232,378,65,chillout
2023-04-04 11:51:13.596232,392,393,techno
2023-04-04 11:51:13.596232,398,413,vocal jazz
2023-04-04 11:51:13.596232,411,433,bounce
2023-04-04 11:51:13.596232,438,367,soft rock
2023-04-04 11:51:41.046576,75,258,metal
2023-04-04 11:51:41.046576,85,23,atmospheric black metal
2023-04-04 11:51:41.046576,90,363,sludge metal
2023-04-04 11:51:41.046576,129,227,jazz-funk
2023-04-04 11:51:41.046576,150,490,complextro
2023-04-04 11:51:41.046576,203,112,disco
2023-04-04 11:51:41.046576,287,39,blackened death metal
2023-04-04 11:51:41.046576,354,9,alternative folk
2023-04-04 11:51:41.046576,375,248,math rock
2023-04-04 11:51:41.046576,378,65,chillout
2023-04-04 11:51:41.046576,392,393,techno
2023-04-04 11:51:41.046576,398,413,vocal jazz
2023-04-04 11:51:41.046576,411,433,bounce
2023-04-04 11:51:41.046576,438,367,soft rock
2023-04-04 11:51:53.523366,279,329,psytrance
2023-04-04 11:51:53.523366,408,143,eurodance
2023-04-04 11:52:00.260161,279,329,psytrance
2023-04-04 11:52:00.260161,408,143,eurodance
2022-04-06 10:01:45.000000,4,132,electronic
2022-09-06 00:06:44.000000,67,159,funk carioca
2021-05-26 00:06:40.000000,97,451,harsh noise wall
2023-03-04 00:02:06.000000,401,167,g-funk
2021-07-30 00:02:41.000000,274,152,folk punk
2021-06-21 00:04:58.000000,9,32,baroque
2020-06-26 00:03:54.000000,465,471,group sounds
2020-07-27 00:01:35.000000,271,498,luk thung
2020-05-21 00:01:23.000000,83,109,delta blues
2022-03-08 00:04:33.000000,27,94,dance
2022-11-20 00:00:37.000000,202,318,progressive folk
2022-08-10 00:02:01.000000,276,481,cyberpunk
2022-11-15 00:01:18.000000,40,389,synth-pop
2023-03-18 00:01:08.000000,148,484,edm
2022-05-12 00:04:06.000000,264,488,brostep
2021-11-01 00:04:08.000000,323,98,dark ambient
2022-08-27 00:02:42.000000,380,142,euro house
2022-03-23 00:03:10.000000,364,286,northern soul
2022-01-11 00:06:06.000000,328,258,metal
2020-08-25 00:02:34.000000,247,429,phonk
2020-12-03 00:03:31.000000,118,164,sigidrigi
2020-12-20 00:01:19.000000,173,117,drone
2022-10-31 00:03:57.000000,269,259,metalcore
2021-08-28 00:07:11.000000,418,137,electropunk
2021-11-10 00:04:38.000000,362,181,gothic
2022-12-29 00:00:53.000000,112,239,vude
2021-04-28 00:00:41.000000,395,238,leftfield
2021-03-04 00:02:55.000000,277,302,pop rock
2021-09-20 00:02:05.000000,452,493,chachachá
2019-09-02 13:28:29.000000,237,300,pop punk
2019-08-12 01:10:58.000000,404,439,detroit techno
2023-03-18 08:57:15.000000,464,53,brutal death metal
2021-12-07 10:25:27.000000,328,258,metal
2021-06-24 06:42:25.000000,146,429,phonk
2021-04-26 01:05:58.000000,230,89,country rock
2021-12-21 08:03:04.000000,329,206,indie pop
2019-07-04 07:36:20.000000,15,59,celtic
2021-04-27 00:06:52.000000,115,288,nu metal
2023-03-16 19:02:54.000000,129,227,jazz-funk
2020-12-12 00:01:03.000000,216,403,trip hop
2020-05-19 00:06:24.000000,359,342,rave
2021-08-18 00:03:45.000000,89,120,dub techno
2022-08-18 00:02:30.000000,449,68,christmas music
2021-12-17 00:02:23.000000,326,200,horrorcore
2021-11-25 00:02:47.000000,315,97,dancehall
2022-06-13 00:01:00.000000,423,389,synth-pop
2021-11-17 00:06:07.000000,487,428,boogie-woogie
2020-05-29 00:03:43.000000,392,393,techno
